154,Anthony DeSclafani,MIN,4.55
155,Trevor Williams,WSN,5.17
156,Andrew Abbott,CIN,4.39
157,Luis L. Ortiz,PIT,4.68
158,Luis Gil,NYY,4.29
159,Drew Thorpe,CHW,4.26
160,Carlos Carrasco,CLE,4.77
161,Tylor Megill,NYM,4.6
162,Gerrit Cole,NYY,3.62
163,Max Meyer,MIA,4.28
164,Nick Nastrini,CHW,4.97
165,Quinn Priester,BOS,4.54
166,J.P. France,HOU,4.39
167,Javier Assad,CHC,4.43
168,Robert Gasser,MIL,4.41
169,Ronel Blanco,HOU,4.38
170,Randy V?squez,SDP,4.29
171,Daniel Lynch IV,KCR,4.77
172,Aaron Ashby,MIL,3.78
173,Joe Boyle,OAK,4.53
174,Ryne Nelson,ARI,4.53
175,Cole Irvin,BAL,4.46
176,David Peterson,NYM,3.98
177,Jordan Lyles,LAD,5.33
178,Tyler Wells,BAL,4.35
179,Lance McCullers Jr.,HOU,3.83
180,Matt Waldron,SDP,4.64
181,Josh Winckowski,BOS,4.33
182,Emerson Hancock,SEA,4.58
183,Jackson Rutledge,WSN,5.31
184,Keaton Winn,SFG,4.15
185,Brandon Williamson,CIN,5.11
186,Spencer Turnbull,PHI,4.94
187,Mike Clevinger,CHW,4.7
188,Kyle Muller,OAK,4.35
189,Gavin Stone,LAD,4.34
190,Mitch Spence,OAK,4.17
191,Matthew Liberatore,STL,4.14
192,Zack Thompson,STL,4.27
193,Ryan Weathers,MIA,4.49
194,Joey Wentz,PIT,4.54
195,Chase Anderson,TEX,5.56
196,Zach Plesac,,5.11
197,Jos? Soriano,LAA,4.16
198,Xzavion Curry,MIA,4.68
199,Clayton Kershaw,LAD,3.64
200,H?ctor Neris,HOU,4.01
201,Matt Strahm,PHI,3.74
202,Cooper Criswell,BOS,4.92
203,Brent Suter,CIN,4.64
204,Michael Kopech,LAD,4.58
205,Dillon Tate,TOR,4.49
206,Sawyer Gipson-Long,DET,4.17
207,Drew Smyly,CHC,4.3
208,Mason Miller,OAK,3.17
209,David Bednar,PIT,3.38
210,Giovanny Gallegos,MIN,3.82
211,Alexis D?az,CIN,4.11
212,Bryan Abreu,HOU,3.25
213,Adbert Alzolay,CHC,3.69
214,Joe Jim?nez,ATL,3.8
215,Joel Payamps,MIL,3.97
216,Pete Fairbanks,TBR,3
217,Emmanuel Clase,CLE,3.02
218,Tanner Scott,SDP,3.22
219,Raisel Iglesias,ATL,3.35
220,Ryan Pressly,HOU,3.37
221,Camilo Doval,SFG,3.48
222,Evan Phillips,LAD,3.57
223,Chris Martin,BOS,3.85
224,Clay Holmes,NYY,3.54
225,Jeff Hoffman,PHI,4
226,Kyle Finnegan,WSN,4.08
227,Carlos Est?vez,PHI,4.29
228,Justin Lawrence,COL,4.55
229,Emilio Pag?n,CIN,4.59
230,Yimi Garc?a,SEA,3.89
231,Craig Kimbrel,BAL,4.09
232,Jos? Leclerc,TEX,4.3
