153,Keaton Winn,SFG,4.25
154,Alec Marsh,KCR,5.21
155,James Paxton,BOS,4.46
156,Michael Lorenzen,KCR,4.54
157,Javier Assad,CHC,4.74
158,Shane Baz,TBR,3.82
159,Alek Manoah,TOR,4.43
160,Bryce Elder,ATL,4.5
161,Gerrit Cole,NYY,3.74
162,Anthony DeSclafani,MIN,4.68
163,Daniel Lynch IV,KCR,5.33
164,Cole Irvin,BAL,4.39
165,Gavin Stone,LAD,4.46
166,Ryan Feltner,COL,5.57
167,Tommy Henry,ARI,5.08
168,Max Meyer,MIA,4.43
169,Max Scherzer,TEX,3.94
170,Josh Winckowski,BOS,4.32
171,Drew Thorpe,CHW,4.29
172,Jos? Urquidy,HOU,4.75
173,Randy V?squez,SDP,4.27
174,Ronel Blanco,HOU,4.9
175,Ryan Weathers,MIA,4.86
176,Michael Kopech,LAD,4.73
177,Aaron Ashby,MIL,3.83
178,Matt Waldron,SDP,4.92
179,Drew Smyly,CHC,4.8
180,Quinn Priester,BOS,4.49
181,Jackson Rutledge,WSN,5.21
182,Domingo Germ?n,PIT,4.25
183,Carlos Carrasco,CLE,5.24
184,Bowden Francis,TOR,4.72
185,David Peterson,NYM,4.18
186,Jos? Soriano,LAA,3.91
187,Emerson Hancock,SEA,4.41
188,Emmet Sheehan,LAD,4.15
189,Sawyer Gipson-Long,DET,4.52
190,Jared Shuster,CHW,5.21
191,Joe Ross,MIL,4.82
192,Bailey Falter,PIT,4.62
193,Tyler Rogers,SFG,3.69
194,Brandon Williamson,CIN,5.29
195,Kyle Finnegan,WSN,4.74
196,Bryse Wilson,MIL,4.67
197,Scott Barlow,CLE,3.88
198,Tanner Scott,SDP,3.45
199,Emmanuel Clase,CLE,2.8
200,Chris Stratton,KCR,4.9
201,Matthew Liberatore,STL,4.34
202,Joel Payamps,MIL,3.95
203,Zach Plesac,,5.3
204,Matt Strahm,PHI,3.59
205,Andrew Nardi,MIA,3.57
206,Mitch Spence,OAK,4.31
207,Yennier Cano,BAL,3.89
208,Ryan Yarbrough,TOR,4.49
209,Jake Bird,COL,4.5
210,Cody Bradford,TEX,4.28
211,Alexis D?az,CIN,3.98
212,H?ctor Neris,HOU,4.21
213,Zack Thompson,STL,4.45
214,Lucas Erceg,KCR,3.92
215,Craig Kimbrel,BAL,3.88
216,Emilio Pag?n,CIN,4.74
217,Camilo Doval,SFG,3.26
218,Clay Holmes,NYY,3.67
219,Carlos Est?vez,PHI,4.34
220,Jeff Hoffman,PHI,4.2
221,Jos? Alvarado,PHI,3.08
222,Gregory Soto,BAL,3.87
223,Bryan Abreu,HOU,3.49
224,Adbert Alzolay,CHC,4.14
225,Brock Burke,LAA,3.82
226,Justin Lawrence,COL,4.73
227,Julian Merryweather,CHC,4.48
228,Alex Lange,DET,3.99
229,Evan Phillips,LAD,3.75
230,Kevin Ginkel,ARI,3.8
231,James McArthur,KCR,4.11
232,Phil Maton,NYM,4.24
233,Luis Gil,NYY,4.51
234,Robert Suarez,SDP,4.16
235,Joey Wentz,PIT,4.5
236,Joe Jim?nez,ATL,4.27
237,Ryan Pressly,HOU,3.49
238,Kyle Muller,OAK,4.95
239,Edwin D?az,NYM,3.15
240,Enyel De Los Santos,CHW,4.34
241,A.J. Minter,ATL,3.39
242,Jason Foley,DET,3.91
243,Jordan Weems,WSN,4.87
244,Ken Waldichuk,OAK,4.51
245,Mark Leiter Jr.,NYY,4.76
246,Ian Hamilton,NYY,3.56
247,Raisel Iglesias,ATL,3.6
248,Ryan Helsley,STL,3.23
249,Brent Suter,CIN,4.42
250,David Bednar,PIT,3.54
251,Adam Ottavino,NYM,4.22
252,Jos? Suarez,LAA,4.63
253,Paul Sewald,ARI,3.91
254,Tyler Alexander,TBR,4.6
255,Giovanny Gallegos,MIN,3.87
256,Griffin Jax,MIN,4.05
257,Xzavion Curry,MIA,4.73
258,Shawn Armstrong,CHC,4.05
259,Cooper Criswell,BOS,5
260,Luis Garc?a,BOS,4.17
261,Zack Greinke,,4.83
262,Jos? Leclerc,TEX,3.76
263,Hunter Harvey,KCR,4.09
264,Aaron Bummer,ATL,3.12
