154,Peter Lambert,COL,5.39
155,Ryne Nelson,ARI,4.67
156,Javier Assad,CHC,4.28
157,Max Meyer,MIA,4.37
158,James Paxton,BOS,4.27
159,Shane Baz,TBR,3.79
160,Keaton Winn,SFG,4.16
161,Drew Thorpe,CHW,4.31
162,Alek Manoah,TOR,4.52
163,Cole Irvin,BAL,4.39
164,Luis Gil,NYY,4.29
165,Anthony DeSclafani,MIN,4.56
166,Bryce Elder,ATL,4.39
167,Daniel Lynch IV,KCR,4.84
168,Gavin Stone,LAD,4.35
169,Gerrit Cole,NYY,3.58
170,Matt Waldron,SDP,4.72
171,Ronel Blanco,HOU,4.59
172,Josh Winckowski,BOS,4.23
173,Luis L. Ortiz,PIT,4.85
174,Jos? Urquidy,HOU,4.69
175,Max Scherzer,TEX,3.9
176,Bailey Falter,PIT,4.57
177,Ryan Weathers,MIA,4.9
178,Robert Gasser,MIL,4.51
179,Joe Ross,MIL,4.48
180,Carlos Carrasco,CLE,4.87
181,Drew Smyly,CHC,4.43
182,Bowden Francis,TOR,4.31
183,Jackson Rutledge,WSN,5.24
184,Emerson Hancock,SEA,4.68
185,Randy V?squez,SDP,4.1
186,Tyler Alexander,TBR,4.54
187,Aaron Ashby,MIL,3.93
188,Quinn Priester,BOS,4.79
189,Sawyer Gipson-Long,DET,4.25
190,David Peterson,NYM,4.08
191,Tyler Rogers,SFG,3.93
192,Kyle Finnegan,WSN,4.05
193,Scott Barlow,CLE,3.73
194,Emmanuel Clase,CLE,3.01
195,Chris Stratton,KCR,4.34
196,Zack Greinke,,4.69
197,Michael Kopech,LAD,4.39
198,Matt Strahm,PHI,3.63
199,Spencer Turnbull,PHI,4.92
200,Emmet Sheehan,LAD,4.31
201,Joey Wentz,PIT,4.84
202,Bryse Wilson,MIL,4.42
203,Matthew Liberatore,STL,4.48
204,Tanner Scott,SDP,3.25
205,Joel Payamps,MIL,3.72
206,Jake Bird,COL,4.59
207,Yennier Cano,BAL,3.69
208,Lucas Erceg,KCR,4.16
209,H?ctor Neris,HOU,3.81
210,Andrew Nardi,MIA,3.67
211,Zack Thompson,STL,4.25
212,Zach Plesac,,5.06
